venue,year,rows,unique_paper_ids,with_doi,with_pdf_url,source_tier,list_status,validation_issues,file
KDD,2026,256,256,256,0,third_party_crosschecked,rolling,0,data/catalog/conferences/KDD/kdd_2026.csv
MLSys,2023,46,46,0,46,official,final,0,data/catalog/conferences/MLSys/mlsys_2023.csv
MLSys,2024,37,37,0,37,official,final,0,data/catalog/conferences/MLSys/mlsys_2024.csv
MLSys,2025,61,61,0,61,official,final,0,data/catalog/conferences/MLSys/mlsys_2025.csv
MLSys,2026,135,135,0,135,official,rolling,0,data/catalog/conferences/MLSys/mlsys_2026.csv
NAACL,2024,562,562,562,562,official,final,0,data/catalog/conferences/NAACL/naacl_2024.csv
NAACL,2025,718,718,718,718,official,final,0,data/catalog/conferences/NAACL/naacl_2025.csv
NeurIPS,2023,3540,3540,0,3540,official,final,0,data/catalog/conferences/NeurIPS/neurips_2023.csv
NeurIPS,2024,4493,4493,0,4493,official,final,0,data/catalog/conferences/NeurIPS/neurips_2024.csv
NeurIPS,2025,5823,5823,0,5823,official,final,0,data/catalog/conferences/NeurIPS/neurips_2025.csv
SIGGRAPH,2023,212,212,212,0,official_plus_secondary,final,0,data/catalog/conferences/SIGGRAPH/siggraph_2023.csv
SIGGRAPH,2024,252,252,252,0,official_plus_secondary,final,0,data/catalog/conferences/SIGGRAPH/siggraph_2024.csv
SIGGRAPH,2025,306,306,306,0,official_plus_secondary,final,0,data/catalog/conferences/SIGGRAPH/siggraph_2025.csv
SIGGRAPH,2026,327,327,327,0,official_plus_secondary,rolling,0,data/catalog/conferences/SIGGRAPH/siggraph_2026.csv
SIGGRAPH Asia,2023,224,224,224,0,official_plus_secondary,final,0,data/catalog/conferences/SIGGRAPH Asia/siggraph asia_2023.csv
SIGGRAPH Asia,2024,265,265,265,0,official_plus_secondary,final,0,data/catalog/conferences/SIGGRAPH Asia/siggraph asia_2024.csv
SIGGRAPH Asia,2025,301,301,301,0,official_plus_secondary,final,0,data/catalog/conferences/SIGGRAPH Asia/siggraph asia_2025.csv
SIGIR,2023,412,412,412,0,third_party_crosschecked,final,0,data/catalog/conferences/SIGIR/sigir_2023.csv
SIGIR,2024,332,332,332,0,third_party_crosschecked,final,0,data/catalog/conferences/SIGIR/sigir_2024.csv
SIGIR,2025,470,470,470,0,third_party_crosschecked,final,0,data/catalog/conferences/SIGIR/sigir_2025.csv
SIGIR,2026,625,625,625,0,third_party_crosschecked,rolling,0,data/catalog/conferences/SIGIR/sigir_2026.csv
TIP,2023,481,481,481,13,official_plus_secondary,final,0,data/catalog/journals/TIP/tip_2023.csv
TIP,2024,504,504,504,7,official_plus_secondary,final,0,data/catalog/journals/TIP/tip_2024.csv
TIP,2025,625,625,625,3,official_plus_secondary,final,0,data/catalog/journals/TIP/tip_2025.csv
TIP,2026,625,625,625,5,official_plus_secondary,rolling,0,data/catalog/journals/TIP/tip_2026.csv
TKDE,2023,478,478,478,35,official_plus_secondary,final,0,data/catalog/journals/TKDE/tkde_2023.csv
TKDE,2024,641,641,641,33,official_plus_secondary,final,0,data/catalog/journals/TKDE/tkde_2024.csv
TKDE,2025,514,514,514,19,official_plus_secondary,final,0,data/catalog/journals/TKDE/tkde_2025.csv
TKDE,2026,502,502,502,9,official_plus_secondary,rolling,0,data/catalog/journals/TKDE/tkde_2026.csv
TMLR,2023,611,611,0,611,official,final,0,data/catalog/journals/TMLR/tmlr_2023.csv
TMLR,2024,955,955,0,955,official,final,0,data/catalog/journals/TMLR/tmlr_2024.csv
TMLR,2025,1432,1432,0,1432,official,final,0,data/catalog/journals/TMLR/tmlr_2025.csv
TMLR,2026,1213,1213,0,1213,official,rolling,0,data/catalog/journals/TMLR/tmlr_2026.csv
TOG,2023,268,268,268,31,official_plus_secondary,final,0,data/catalog/journals/TOG/tog_2023.csv
TOG,2024,279,279,279,25,official_plus_secondary,final,0,data/catalog/journals/TOG/tog_2024.csv
TOG,2025,284,284,284,22,official_plus_secondary,final,0,data/catalog/journals/TOG/tog_2025.csv
TOG,2026,175,175,175,0,official_plus_secondary,rolling,0,data/catalog/journals/TOG/tog_2026.csv
TOIS,2023,173,173,173,1,official_plus_secondary,final,0,data/catalog/journals/TOIS/tois_2023.csv
TOIS,2024,116,116,116,1,official_plus_secondary,final,0,data/catalog/journals/TOIS/tois_2024.csv
TOIS,2025,184,184,184,0,official_plus_secondary,final,0,data/catalog/journals/TOIS/tois_2025.csv
TOIS,2026,131,131,131,0,official_plus_secondary,rolling,0,data/catalog/journals/TOIS/tois_2026.csv
TPAMI,2023,846,846,846,61,official_plus_secondary,final,0,data/catalog/journals/TPAMI/tpami_2023.csv
TPAMI,2024,739,739,739,38,official_plus_secondary,final,0,data/catalog/journals/TPAMI/tpami_2024.csv
TPAMI,2025,832,832,832,38,official_plus_secondary,final,0,data/catalog/journals/TPAMI/tpami_2025.csv
TPAMI,2026,956,956,956,27,official_plus_secondary,rolling,0,data/catalog/journals/TPAMI/tpami_2026.csv
TVCG,2023,477,477,477,56,official_plus_secondary,final,0,data/catalog/journals/TVCG/tvcg_2023.csv
TVCG,2024,549,549,549,66,official_plus_secondary,final,0,data/catalog/journals/TVCG/tvcg_2024.csv
TVCG,2025,881,881,881,91,official_plus_secondary,final,0,data/catalog/journals/TVCG/tvcg_2025.csv
TVCG,2026,702,702,702,64,official_plus_secondary,rolling,0,data/catalog/journals/TVCG/tvcg_2026.csv
WWW,2023,402,402,402,0,third_party_crosschecked,final,0,data/catalog/conferences/WWW/www_2023.csv
WWW,2024,428,428,428,0,third_party_crosschecked,final,0,data/catalog/conferences/WWW/www_2024.csv
WWW,2025,442,442,442,0,third_party_crosschecked,final,0,data/catalog/conferences/WWW/www_2025.csv
WWW,2026,950,950,950,0,third_party_crosschecked,rolling,0,data/catalog/conferences/WWW/www_2026.csv
